コマンド,分岐数,分岐先名,ファイル名,名前,お話,,,
BackImage,,,forest_2,,,,,
BGM,,,school,,,,,
,,,,教官,それでは、適性検査を始める！,,,
,,,,,1人ずつこの魔水晶に触れてみろ。,,,
,,,,ヘレン,あれが魔水晶…,「大地、海、空」三大精霊の奇跡が溶け込んだ魔石...,,
,,,,,触れた者の祈りに応え、「大地、海、空の精霊」から1番奇跡を授かりやすい精霊の奇跡が起きる...だったか,,,
,,,,メア,ヘレン？どうしたの？,,,
,,,,ヘレン,あ、いや、実物は初めて見るから、魔水晶について思い出していた,,,
,,,,メア,つまり、忘れちゃったの？,,,
,,,,ヘレン,え、いや、そういう訳じゃ...,,,
,,,,メア,じゃあ、順番を待ってる間特にすることもないし、私が教えてあげる,まず、魔水晶っていうのは,,
,,,,ヘレン,さすがにそれはわかってるよ・・・,,,
,,,,メア,ふふっ、冗談よ　でも念のため魔水晶に触れた時の反応について復習しましょ,ヘインなら簡単でしょ？,,
,,,,ヘレン,もちろん。,,,
,,,,メア,それじゃあ大地の精霊に奇跡を授かりやすい人はどんな反応？,,,
Choices,2,自然には起こらない強い風が吹く,,,,,,
,,植物や地面に変化が現れる,,,,,,
自然には起こらない強い風が吹く,,,,メア,うーんちょっと違うわ,,,
,,,,,end,,,
植物や地面に変化が現れる,,,,メア,正解！さすがヘインね,,,
,,,,,end,,,
end,,,,,大地の精霊に奇跡を授かりやすい人は植物や地面に変化が現れるのよ,,,
,,,,メア,そして、海の精霊に奇跡を授かりやすい人は,,,
,,,,ヘレン,魔水晶の中の海の精霊によって水が溢れ出す,それでもなく、空の精霊なら天候に大きな変化がある,また、そのどれもが奇跡使いの力の大きさによって反応の強さが変わる・・・・,だろ？
,,,,メア,そうよ・・・正解。,もう！私が説明しようと思ったのに・・・！,,
,,,,ヘレン,ごめんごめん。　あんまり時間が無いと思ってさ。,ほら、メアの番,,
,,,,教官,次、メア・グライス！,,,
,,,,メア,は、はい！,じゃあヘイン行ってくるね！,,
,,,,ヘレン,ああ。　「精霊の加護がありますように」,,,
,,,,メア,ヘインにも！　「精霊の加護がありますようにっ」,,,
,,,,,メアが魔水晶に触れると水の精霊に無事奇跡を授かることができた,力の大きさは中の上くらいだろう,ちなみにイドは大地の精霊に奇跡を授かったようだ,それなりに力が強いらしい
,,,,,そして、ついに私の番が来た　最後だった,,,
,,,,教官,ヘレン・ディターレ　最後はお前だ。,魔水晶に触れてみろ,,
,,,,,私は恐る恐る魔水晶に触れた　すると徐々に魔水晶から光が溢れ出してきた,,,
,,,,教官,そのまま祈れ　心の底から奇跡を願うんだ,,,
,,,,,教官の指示通り　私は願った,,,
,,,,ヘレン,指先がなんだか・・・・・・温かい,,,
,,,,？？？,・・・・・祈る者よ,・・・・・我らの声を聴く者よ,・・・・・そなたが祈るなら叶えよう,
,,,,ヘレン,今の声は・・・・？,え？,,
,,,,,その瞬間、魔水晶が激しく光を放った,次の瞬間、魔水晶から天に上る滝のような水が溢れ出た,そしてあたりが急に暗くなり上を見上げると　そこには台風の目のような雲が出来上がっていた,
,,,,生徒A,お、おい　なんだよこれ！？,,,
,,,,,驚いた声を聴いて足元を見るとあたり一面に新芽が出ていた,,,
,,,,生徒B,この新芽いったいどこまで広がってるの！？,,,
,,,,生徒C,す、すごい・・・　これ全部ディターレさんが？,,,
,,,,ヘレン,教官・・・これはいったい？,,,
,,,,教官,・・・・・・・・,こんな事は前例がない　ヘレン、もしかしたらお前は全ての精霊に・・・・,いや、これは私だけでは判断できん　一先ず適性検査は終了だ！全員本日の講義は終了！帰宅して構わない,ヘレン、お前のことは教官や奇跡使い達と相談する
,,,,ヘレン,分かりました。失礼します。,,,
,,,,メア,ヘレン！！すごかったね！？　,,,
,,,,ヘレン,メア、魔水晶から声が聞こえたか？,,,
,,,,メア,声？全然？　そうそう！祈ったときに一瞬だけど海の精霊さんの気配がしたの！,イドもそうでしょ？,,
,,,,イド,ああ。大体そんな感じだった。,,,
,,,,ヘレン,そ、そうか。,・・・・・じゃああれはいったい？,,
,,,,メア,と、とりあえず！　3人とも加護があってよかったじゃない！,ママが美味しい夕ご飯作ってくれてるはずよ！　早く帰りましょ！ね？,,
,,,,ヘレン,あ、ああ。　今日はひとまず帰ろうか,,,
,,,,イド,おっ、メアのママさんの料理楽しみだなー！,,,
,,,,メア,イドは講義中に眠ってたし、おかわり禁止ね,,,
,,,,イド,なっ！？　メア・・・頼むそれだけは！,,,
,,,,,二人の話している声は聞こえたものの　私の頭には全然入ってこず,ただひたすら、さっきの出来事を思い出していた,,
,,,,ヘレン,私は・・・一体・・・・・,,,
,,,,,つづく,,,
,,,,,次回更新をおまちください。,,,
